Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, C7, C8, C11, C12, ",6,GRM21BZ71E106KE15K,GRM21BZ71E106KE15K,CAPC2012X145N,Multilayer Ceramic Capacitors MLCC - SMD/SMT,
"C3, C5, C9, ",3,C3216X7R1H106K160AE,C3216X7R1H106K160AE,CAPC3216X180N,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",
"C4, C6, C10, ",3,VJ0603Y104JXXAC,VJ0603Y104JXXAC,CAPC1608X97N,Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF 25V 5% 0603,
"C13, ",1,C0603C104K5RAC3121,C0603C104K5RAC3121,CAPC1608X95N,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0603 10% AEC-Q200,
"D1, ",1,1.5SMBJ36CA-H,1.5SMBJ36CA-H,DIONM5436X244N,"DIO TVS VRWM 36V 1500W BIDIR SMB 7"" REEL",
"F1, ",1,0685T6000-01,0685T6000-01,FUSC3216X83N,"Surface Mount Fuses Surface Mt Slow Blow 1206 size, 6A",
"IC1, IC2, IC3, IC4, IC5, ",5,TPS27S100BRRKR,TPS27S100BRRKR,TPS27S100BRRKR,"Power Switch ICs - Power Distribution 40-V, 4-A, 80-m Single-Channel High-Side Switch",
"IC7, ",1,STM32L010F4P6TR,STM32L010F4P6TR,SOP65P640X120-20N,MCU 32-bit ARM Cortex M0+ RISC 16KB Flash 2.5V/3.3V 20-Pin TSSOP T/R,
"J1, J2, J3, J4, J6, ",5,640456-6,640456-6,SHDR6W66P0X254_1X6_1524X572X1003P,Headers & Wire Housings FRICTION LCK HDR 6P Straight Post tin,
"J5, ",1,640454-2,640454-2,HDRV2W66P0X254_1X2_762X572X1003P,"2 way MTA straight polarised header TE Connectivity MTA-100 Series, 2.54mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 5A",
"L1, L2, L3, ",3,IHLP2525CZER3R3M01,IHLP2525CZER3R3M01,INDPM6965X300N,"Vishay, IHLP, 2225 (5664M) Shielded Wire-wound SMD Inductor with a Metal Composite Core, 3.3 uH +/-20% Shielded 6A Idc",
"PS1, PS2, PS3, ",3,LMR51420YFDDCR,LMR51420YFDDCR,SOT95P280X110-6N,"Switching Voltage Regulators SIMPLE SWITCHER power converter 4.5-V to 36-V, 2-A, synchronous buck with 40-uA IQ",
"Q1, ",1,SQS141ELNW-T1_GE3,SQS141ELNW-T1_GE3,SQS850ENT1_GE3,Automotive P-Channel 40 V (D-S) 175 C MOSFET,
"Q2, ",1,IRLML6244TRPBF,IRLML6244TRPBF,SOT95P237X112-3N,"INFINEON - IRLML6244TRPBF - MOSFET, N CH, 20V, 6.3A, SOT-23",
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R21, R28, R29, R30, R31, R48, ",21,WSL080500000ZEA9,WSL080500000ZEA9,RESC2013X84N,"VISHAY - WSL080500000ZEA9 - SMD Chip Resistor, Jumper, 0805 [2012 Metric], 0 ohm, WSL-9 Series, Metal Strip",
"R16, R20, R24, ",3,ERJ3EKF1003V,ERJ3EKF1003V,ERJ3EKF1000V,"PANASONIC ELECTRONIC COMPONENTS - ERJ3EKF1003V - RES, THICK FILM, 100K, 1%, 0.1W, 0603",
"R17, R22, R25, ",3,ERJU03F5231V,ERJU03F5231V,ERJS03J155V,"Anti-Sulfurated Thick Film Chip Resistor, 0603, 0.1W",
"R18, R19, R23, ",3,ERJ-3GEY0R00V,ERJ-3GEY0R00V,ERJ3EKF1000V,Thick Film Resistors - SMD 0603 Zero Ohms,
"R26, R27, ",2,CHV0603AFX-2003ELF,CHV0603AFX-2003ELF,RESC1608X55N,ResHV A 0603 200k 1% 0.1W TCR100,
"R32, R50, R51, R52, R53, R54, R55, R56, R57, ",9,ERJ-2RKF1002X,ERJ-2RKF1002X,ERJ2RKD1004X,Res Thick Film 0402 10K Ohm 1% 0.1W(1/10W) +/-100ppm/C Pad SMD Automotive T/R,
"R33, R36, R38, R40, R42, ",5,ERJH3ED3000V,ERJH3ED3000V,ERJH3,"Power Rating 0.125W,Resistance 300 Ohm,LxW(EIA) 1.6 x 0.8 (EIA:0603) mm",
"R34, R35, R37, R39, R41, ",5,ERJH3ED2000V,ERJH3ED2000V,ERJH3,"Power Rating 0.125W,Resistance 200 Ohm,LxW(EIA) 1.6 x 0.8 (EIA:0603) mm",
"R43, R44, R45, R46, R47, ",5,ERJ2RKF1001X,ERJ2RKF1001X,ERJ2RKD1004X,"Precision,Thick,Chip Resistors,Size1005 Panasonic Precision Thick Film Surface Mount Resistor 0402 Case 1k +/-1% 0.1W +/-100ppm/C",
"R49, ",1,ERJ2RKF1003X,ERJ2RKF1003X,ERJ2RKD1004X,Panasonic ERJ2RK Series Thick Film Surface Mount Fixed Resistor 0402 Case +/-1% 0.1W +/-100ppm/C,
